shot,start_s,duration_s,frames,size,lens_mm,height,camera_move,expression,source,reuse_of,entities,claims,narration,motion,gate
03-01,0.0,4.0,120,CU,85,eye,locked,"shock, settling",reuse,,DASHARATHA,,,NO MOTION,refused
03-02,4.0,2.2,66,MS,85,eye,locked,calm authority,reuse,,VISHVAMITRA,CLM-0008,L1,NO MOTION,refused
03-03,6.2,1.9,57,INSERT,100,eye,locked,calm authority,reuse,,VISHVAMITRA,,L2,NO MOTION,refused
03-04,8.1,1.8,54,MS,85,eye,locked,confidence,reuse,03-02,VISHVAMITRA,,L3,NO MOTION,refused
03-05,9.9,2.4,72,MS,50,eye,locked,concern → fear,generate,,DASHARATHA SABHA THRONE,,,motion,refused
03-06,12.3,1.2,36,INSERT,50,eye,locked,—,generate,,THRONE,,,motion,clear
03-07,13.5,1.7,51,CU,85,eye,locked,fatherly fear,generate,,DASHARATHA,,L4,motion,refused
03-08,15.2,2.2,66,MS,85,eye,locked,fear,generate,,DASHARATHA,CLM-0010,L5,motion,refused
03-09,17.4,2.6,78,MS,85,eye,locked,restrained patience,reuse,03-02,VISHVAMITRA,,L6,NO MOTION,refused
03-10,20.0,2.1,63,WIDE,35,eye,locked,—,generate,,COURT SABHA,,,motion,refused
03-11,22.1,2.2,66,MS,50,eye,locked,kingly resolve,generate,,DASHARATHA SABHA,CLM-0012,L7,motion,refused
03-12,24.3,2.4,72,WIDE,24,eye,locked,kingly resolve,generate,,COURT SABHA,,,motion,refused
03-13,26.7,1.1,33,CU,85,eye,locked,resolve,crop,03-11,DASHARATHA,,,NO MOTION,refused
03-14,27.8,2.0,60,MS,50,eye,locked,resolve,generate,,DASHARATHA,CLM-0013,L8,motion,refused
03-15,29.8,1.4,42,MS,85,eye,locked,restrained patience,reuse,03-02,VISHVAMITRA,,,NO MOTION,refused
03-16,31.2,1.0,30,CU,85,eye,locked,resolve breaking,generate,,DASHARATHA,,L9,motion,refused
03-17,32.2,1.9,57,INSERT,100,eye,locked,the break,generate,,DASHARATHA,,,motion,refused
03-18,34.1,1.6,48,CU,85,eye,locked,seriousness,generate,,VISHVAMITRA,,,motion,refused
03-19,35.7,2.2,66,CU,85,eye,locked,fatherly fear at full,generate,,DASHARATHA,CLM-0014,L10,motion,refused
03-20,37.9,3.1,93,MS,85,eye,locked,—,generate,,DASHARATHA,,,motion,refused
03-21,41.0,1.4,42,MS,85,eye,locked,firm refusal,reuse,03-20,DASHARATHA,CLM-0015,L11,NO MOTION,refused
03-22,42.4,1.0,30,INSERT,100,eye,locked,refusal complete,generate,,DASHARATHA,,,motion,refused
03-23,43.4,8.0,240,MS,85,eye,locked,—,reuse,03-02,VISHVAMITRA,,,NO MOTION,refused
