shot,start_s,duration_s,frames,size,lens_mm,height,camera_move,expression,source,reuse_of,entities,claims,narration,motion,gate
04-01,0.0,3.0,90,MS,85,eye,locked,—,reuse,,VISHVAMITRA,,,NO MOTION,refused
04-02,3.0,2.1,63,MS,85,eye,locked,—,generate,,DASHARATHA,CLM-0020,L1,motion,refused
04-03,5.1,1.7,51,CU,85,eye,locked,—,crop,04-02,DASHARATHA,CLM-0020,,NO MOTION,refused
04-04,6.8,2.2,66,CU,85,eye,locked,seriousness,crop,04-01,VISHVAMITRA,,L2,NO MOTION,refused
04-05,9.0,1.9,57,MS,85,eye,"slow push, 2–3% across the beat",—,reuse,04-01,VISHVAMITRA,CLM-0031,L3,NO MOTION,refused
04-06,10.9,1.5,45,CU,85,eye,locked,—,reuse,04-04,VISHVAMITRA,CLM-0031,,NO MOTION,refused
04-07,12.4,3.1,93,MS,85,eye,locked,—,generate,,DASHARATHA,,,motion,refused
04-08,15.5,8.0,240,WIDE,24,high,locked,—,generate,,DASHARATHA COURT SABHA,,L4,motion,refused
04-09,23.5,2.1,63,WIDE,24,high,locked,—,reuse,04-08,DASHARATHA COURT SABHA,,L5,NO MOTION,refused
04-10,25.6,1.7,51,WIDE,35,eye,locked,—,crop,04-08,DASHARATHA SABHA,,,NO MOTION,refused
04-11,27.3,1.9,57,MS,50,eye,locked,—,generate,,COURT,,,motion,refused
04-12,29.2,1.6,48,CU,85,eye,locked,—,generate,,DASHARATHA,,L6,motion,refused
04-13,30.8,2.2,66,CU,85,eye,locked,fear,reuse,04-12,DASHARATHA,CLM-0034,L7,NO MOTION,refused
04-14,33.0,1.5,45,CU,85,eye,locked,—,generate,,DASHARATHA,,,motion,refused
04-15,34.5,1.7,51,INSERT,100,eye,locked,—,generate,,DASHARATHA,,,motion,refused
04-16,36.2,2.1,63,CU,85,eye,locked,—,crop,04-12,DASHARATHA,CLM-0035,L8,NO MOTION,refused
04-17,38.3,2.4,72,MS,85,eye,locked,—,reuse,,DASHARATHA,CLM-0035,L9,NO MOTION,refused
04-18,40.7,8.0,240,MS,85,eye,locked,—,reuse,04-01,VISHVAMITRA,,,NO MOTION,refused
